mmsi,vessel_name,vessel_type,lat,lon,speed_knots,in_anchorage,is_delayed,snapshot_time,date,month,day_of_week,week_of_year,year,vessel_type_safe,terminal,origin_port,teu_load,utilization_rate,dwell_time_days,is_crisis_period,rolling_avg_turnaround,is_peak_season,is_weekend,vessel_type_enc,terminal_enc,origin_enc,predicted_turnaround,congestion_level
477273100,OOCL CHANCAY        ,Feeder Container,33.75393,-118.21402,0.0,False,False,2026-09-18T17:39:35.527536+00:00,2026-09-18,9,4,38,2026,Feeder Container,Yang Ming,Hong Kong,2250.0,0.9,2.0,0,95.0,1,0,0,4,1,102.3,High
367569830,BARBARA J MULHOLLAND,Feeder Container,33.76348,-118.25686,0.0,False,False,2026-09-18T17:39:35.527536+00:00,2026-09-18,9,4,38,2026,Feeder Container,TraPac,Taipei,2250.0,0.9,2.0,0,95.0,1,0,0,3,8,102.2,High
367401030,DELTA BILLIE,Feeder Container,33.73976,-118.27808,0.0,False,False,2026-09-18T17:39:35.527536+00:00,2026-09-18,9,4,38,2026,Feeder Container,TraPac,Manila,2250.0,0.9,2.0,0,95.0,1,0,0,3,3,102.3,High
368225560,MARLEY C            ,Feeder Container,33.7551,-118.22447,0.1,False,False,2026-09-18T17:39:35.527536+00:00,2026-09-18,9,4,38,2026,Feeder Container,Yang Ming,Shenzhen,2250.0,0.9,2.0,0,95.0,1,0,0,4,6,102.4,High
368012340,APACHE,Feeder Container,33.73132,-118.2113,0.0,False,False,2026-09-18T17:39:35.527536+00:00,2026-09-18,9,4,38,2026,Feeder Container,Yang Ming,Taipei,2250.0,0.9,2.0,0,95.0,1,0,0,4,8,102.2,High
368237190,GO BEYOND           ,Feeder Container,33.74603,-118.22469,0.0,False,False,2026-09-18T17:39:35.527536+00:00,2026-09-18,9,4,38,2026,Feeder Container,Yang Ming,Taipei,2250.0,0.9,2.0,0,95.0,1,0,0,4,8,102.2,High
255803680,MSC BRIDGEPORT      ,Feeder Container,33.75518,-118.27602,0.0,False,False,2026-09-18T17:39:35.527536+00:00,2026-09-18,9,4,38,2026,Feeder Container,TraPac,Busan,2250.0,0.9,2.0,0,95.0,1,0,0,3,0,101.9,High
249047000,CELEBRITY SUMMIT,Feeder Container,33.74835,-118.27748,0.0,False,False,2026-09-18T17:39:35.527536+00:00,2026-09-18,9,4,38,2026,Feeder Container,TraPac,Jakarta,2250.0,0.9,2.0,0,95.0,1,0,0,3,2,102.3,High
440151000,SM NINGBO           ,Feeder Container,33.76747,-118.23699,0.0,False,False,2026-09-18T17:39:35.527536+00:00,2026-09-18,9,4,38,2026,Feeder Container,Yang Ming,Shanghai,2250.0,0.9,2.0,0,95.0,1,0,0,4,5,102.4,High
367513170,LASSEN              ,Feeder Container,33.74344,-118.19888,0.0,False,False,2026-09-18T17:39:35.527536+00:00,2026-09-18,9,4,38,2026,Feeder Container,Everport,Busan,2250.0,0.9,2.0,0,95.0,1,0,0,2,0,101.9,High
368088820,MORTY               ,Feeder Container,33.74,-118.20396,0.0,False,False,2026-09-18T17:39:35.527536+00:00,2026-09-18,9,4,38,2026,Feeder Container,Yang Ming,Hong Kong,2250.0,0.9,2.0,0,95.0,1,0,0,4,1,102.3,High
368010330,LILLIAN FOSS        ,Feeder Container,33.72805,-118.27399,0.0,False,False,2026-09-18T17:39:35.527536+00:00,2026-09-18,9,4,38,2026,Feeder Container,TraPac,Hong Kong,2250.0,0.9,2.0,0,95.0,1,0,0,3,1,102.3,High
367689990,HARBOR KING         ,Feeder Container,33.73824,-118.27849,0.0,False,False,2026-09-18T17:39:35.527536+00:00,2026-09-18,9,4,38,2026,Feeder Container,TraPac,Manila,2250.0,0.9,2.0,0,95.0,1,0,0,3,3,102.3,High
368133450,DARRELL HIATT       ,Feeder Container,33.73317,-118.26779,0.1,False,False,2026-09-18T17:39:35.527536+00:00,2026-09-18,9,4,38,2026,Feeder Container,TraPac,Jakarta,2250.0,0.9,2.0,0,95.0,1,0,0,3,2,102.3,High
636018276,MSC GAYANE          ,Feeder Container,33.75456,-118.23152,0.0,False,False,2026-09-18T17:39:35.527536+00:00,2026-09-18,9,4,38,2026,Feeder Container,Yang Ming,Tokyo,2250.0,0.9,2.0,0,95.0,1,0,0,4,9,102.2,High
366892180,J.M. HIDALGO        ,Feeder Container,33.77086,-118.21354,0.0,False,False,2026-09-18T17:39:35.527536+00:00,2026-09-18,9,4,38,2026,Feeder Container,Yang Ming,Taipei,2250.0,0.9,2.0,0,95.0,1,0,0,4,8,102.2,High
367006790,VICKI ANN           ,Feeder Container,33.73257,-118.27273,0.0,False,False,2026-09-18T17:39:35.527536+00:00,2026-09-18,9,4,38,2026,Feeder Container,TraPac,Shenzhen,2250.0,0.9,2.0,0,95.0,1,0,0,3,6,102.4,High
538070708,CIELO MARE          ,Feeder Container,33.72412,-118.27971,0.0,False,False,2026-09-18T17:39:35.527536+00:00,2026-09-18,9,4,38,2026,Feeder Container,TraPac,Shanghai,2250.0,0.9,2.0,0,95.0,1,0,0,3,5,102.4,High
249113000,MRC LIVA            ,Feeder Container,33.72727,-118.16656,0.1,False,False,2026-09-18T17:39:35.527536+00:00,2026-09-18,9,4,38,2026,Feeder Container,Everport,Manila,2250.0,0.9,2.0,0,95.0,1,0,0,2,3,102.3,High
368165820,V.A.POINT FERMIN    ,Feeder Container,33.72346,-118.28052,0.0,False,False,2026-09-18T17:39:35.527536+00:00,2026-09-18,9,4,38,2026,Feeder Container,APM Terminals,Busan,2250.0,0.9,2.0,0,95.0,1,0,0,0,0,101.9,High
367507960,DB SALTA VERDE      ,Feeder Container,33.75379,-118.22389,0.0,False,False,2026-09-18T17:39:35.527536+00:00,2026-09-18,9,4,38,2026,Feeder Container,Yang Ming,Manila,2250.0,0.9,2.0,0,95.0,1,0,0,4,3,102.3,High
366760650,LEADER              ,Feeder Container,33.74025,-118.27811,0.0,False,False,2026-09-18T17:39:35.527536+00:00,2026-09-18,9,4,38,2026,Feeder Container,TraPac,Taipei,2250.0,0.9,2.0,0,95.0,1,0,0,3,8,102.2,High
368171260,MADELINE B HAMILTON ,Feeder Container,33.73081,-118.26217,0.0,False,False,2026-09-18T17:39:35.527536+00:00,2026-09-18,9,4,38,2026,Feeder Container,TraPac,Singapore,2250.0,0.9,2.0,0,95.0,1,0,0,3,7,102.3,High
367004260,CABRILLO            ,Feeder Container,33.73411,-118.26855,0.0,False,False,2026-09-18T17:39:35.527536+00:00,2026-09-18,9,4,38,2026,Feeder Container,TraPac,Manila,2250.0,0.9,2.0,0,95.0,1,0,0,3,3,102.3,High
368159190,LB PILOT POLARIS 3  ,Feeder Container,33.74733,-118.21564,0.1,False,False,2026-09-18T17:39:35.527536+00:00,2026-09-18,9,4,38,2026,Feeder Container,Yang Ming,Ningbo,2250.0,0.9,2.0,0,95.0,1,0,0,4,4,102.5,High
636023874,HAWK I              ,Feeder Container,33.76639,-118.27372,0.0,False,False,2026-09-18T17:39:35.527536+00:00,2026-09-18,9,4,38,2026,Feeder Container,TraPac,Busan,2250.0,0.9,2.0,0,95.0,1,0,0,3,0,101.9,High
636026611,YM MODERATION       ,Feeder Container,33.76062,-118.27346,0.0,False,False,2026-09-18T17:39:35.527536+00:00,2026-09-18,9,4,38,2026,Feeder Container,TraPac,Tokyo,2250.0,0.9,2.0,0,95.0,1,0,0,3,9,102.2,High
366998840,MILLENIUM MAVERICK  ,Feeder Container,33.76392,-118.25682,0.0,False,False,2026-09-18T17:39:35.527536+00:00,2026-09-18,9,4,38,2026,Feeder Container,TraPac,Busan,2250.0,0.9,2.0,0,95.0,1,0,0,3,0,101.9,High
367625810,DELTA AUDREY        ,Feeder Container,33.73978,-118.27817,0.0,False,False,2026-09-18T17:39:35.527536+00:00,2026-09-18,9,4,38,2026,Feeder Container,TraPac,Jakarta,2250.0,0.9,2.0,0,95.0,1,0,0,3,2,102.3,High
367672140,MAURETANIA          ,Feeder Container,33.72353,-118.28043,0.0,False,False,2026-09-18T17:39:35.527536+00:00,2026-09-18,9,4,38,2026,Feeder Container,APM Terminals,Manila,2250.0,0.9,2.0,0,95.0,1,0,0,0,3,102.3,High
367019310,QUIN DELTA          ,Feeder Container,33.74241,-118.24294,0.0,False,False,2026-09-18T17:39:35.527536+00:00,2026-09-18,9,4,38,2026,Feeder Container,TraPac,Shenzhen,2250.0,0.9,2.0,0,95.0,1,0,0,3,6,102.4,High
367017440,PIPER INNESS        ,Feeder Container,33.77088,-118.21168,0.0,False,False,2026-09-18T17:39:35.527536+00:00,2026-09-18,9,4,38,2026,Feeder Container,Yang Ming,Manila,2250.0,0.9,2.0,0,95.0,1,0,0,4,3,102.3,High
367724740,LA ESPADA ,Feeder Container,33.76238,-118.19495,0.0,False,False,2026-09-18T17:39:35.527536+00:00,2026-09-18,9,4,38,2026,Feeder Container,Everport,Ningbo,2250.0,0.9,2.0,0,95.0,1,0,0,2,4,102.5,High
367308610,SARAH C.            ,Feeder Container,33.75326,-118.22375,0.0,False,False,2026-09-18T17:39:35.527536+00:00,2026-09-18,9,4,38,2026,Feeder Container,Yang Ming,Singapore,2250.0,0.9,2.0,0,95.0,1,0,0,4,7,102.3,High
338921000,CG GEORGE COBB,Feeder Container,33.72837,-118.27042,0.1,False,False,2026-09-18T17:39:35.527536+00:00,2026-09-18,9,4,38,2026,Feeder Container,TraPac,Hong Kong,2250.0,0.9,2.0,0,95.0,1,0,0,3,1,102.3,High
369357000,JANET MARIE,Feeder Container,33.76948,-118.22844,0.0,False,False,2026-09-18T17:39:35.527536+00:00,2026-09-18,9,4,38,2026,Feeder Container,Yang Ming,Ningbo,2250.0,0.9,2.0,0,95.0,1,0,0,4,4,102.5,High
636024330,HMM TOPAZ           ,Feeder Container,33.73354,-118.24364,0.0,False,False,2026-09-18T17:39:35.527536+00:00,2026-09-18,9,4,38,2026,Feeder Container,TraPac,Manila,2250.0,0.9,2.0,0,95.0,1,0,0,3,3,102.3,High
