arrival_date,terminal,vessel_calls,avg_turnaround,avg_dwell,total_teu,delay_count,delay_rate
2019-01-01,APM Terminals,7,90.89999999999999,1.885714285714286,51230,1,0.143
2019-01-01,China Shipping,3,91.2,2.0666666666666664,31432,0,0.0
2019-01-01,Everport,8,91.4875,1.975,69001,1,0.125
2019-01-01,TraPac,6,87.51666666666667,1.8166666666666667,50964,1,0.167
2019-01-01,Yang Ming,4,92.2,2.425,48156,1,0.25
2019-01-02,APM Terminals,5,83.94,2.7,58561,0,0.0
2019-01-02,China Shipping,5,84.03999999999999,1.86,49300,0,0.0
2019-01-02,Everport,5,81.6,1.8199999999999998,33362,1,0.2
2019-01-02,TraPac,4,100.525,1.75,35308,0,0.0
2019-01-02,Yang Ming,1,96.0,3.4,16197,0,0.0
2019-01-03,APM Terminals,4,105.35000000000001,2.2,45922,1,0.25
2019-01-03,China Shipping,4,97.45,1.85,38788,2,0.5
2019-01-03,Everport,5,76.3,2.58,44367,2,0.4
2019-01-03,TraPac,4,88.6,1.9500000000000002,36015,1,0.25
2019-01-03,Yang Ming,5,103.67999999999999,1.94,32778,2,0.4
2019-01-04,APM Terminals,8,80.3625,2.15,63921,0,0.0
2019-01-04,China Shipping,7,93.39999999999999,1.742857142857143,55157,0,0.0
2019-01-04,Everport,3,87.96666666666665,1.8999999999999997,29268,0,0.0
2019-01-04,TraPac,5,90.47999999999999,2.18,51373,1,0.2
2019-01-04,Yang Ming,4,101.125,1.6,33009,2,0.5
2019-01-05,APM Terminals,4,78.75,2.275,46523,0,0.0
2019-01-05,China Shipping,4,101.825,2.2,42976,0,0.0
2019-01-05,Everport,3,106.66666666666667,1.8333333333333333,19765,0,0.0
2019-01-05,TraPac,2,97.30000000000001,1.6,17626,0,0.0
2019-01-05,Yang Ming,4,91.825,1.95,46329,1,0.25
2019-01-06,APM Terminals,1,93.6,2.1,10481,0,0.0
2019-01-06,China Shipping,4,89.15,2.375,39978,1,0.25
2019-01-06,Everport,3,80.13333333333333,1.9000000000000001,35038,0,0.0
2019-01-06,TraPac,8,89.6,2.05,79528,3,0.375
2019-01-06,Yang Ming,5,83.14,2.32,44392,0,0.0
2019-01-07,APM Terminals,4,85.125,2.4,45409,1,0.25
2019-01-07,China Shipping,7,99.7,2.185714285714286,63729,2,0.286
2019-01-07,Everport,5,95.06,1.58,22258,1,0.2
2019-01-07,TraPac,4,90.525,2.7,40108,0,0.0
2019-01-07,Yang Ming,7,94.34285714285714,2.3000000000000003,67436,1,0.143
2019-01-08,APM Terminals,4,91.19999999999999,2.675,33603,1,0.25
2019-01-08,China Shipping,4,95.075,1.85,32495,1,0.25
2019-01-08,Everport,2,100.9,1.95,8040,0,0.0
2019-01-08,TraPac,4,97.925,2.65,58668,0,0.0
2019-01-09,APM Terminals,5,96.06,1.6,27390,1,0.2
2019-01-09,China Shipping,3,95.2,1.9000000000000001,24561,0,0.0
2019-01-09,Everport,6,82.13333333333334,2.3333333333333335,64051,2,0.333
2019-01-09,TraPac,5,94.82000000000001,2.2800000000000002,47597,2,0.4
2019-01-09,Yang Ming,7,88.15714285714286,2.542857142857143,88810,1,0.143
2019-01-10,APM Terminals,6,103.85000000000001,2.3666666666666667,72540,1,0.167
2019-01-10,China Shipping,5,93.66,1.86,47468,1,0.2
2019-01-10,Everport,7,91.7,2.257142857142857,74001,3,0.429
2019-01-10,TraPac,9,89.51111111111112,2.4444444444444446,107406,0,0.0
2019-01-10,Yang Ming,2,88.5,1.55,18116,0,0.0
2019-01-11,APM Terminals,4,93.95,2.475,47875,0,0.0
2019-01-11,China Shipping,2,94.5,2.05,21834,1,0.5
2019-01-11,Everport,6,77.78333333333333,2.3000000000000003,71204,0,0.0
2019-01-11,TraPac,6,90.86666666666667,2.1,53795,0,0.0
2019-01-11,Yang Ming,4,96.075,1.65,21536,0,0.0
2019-01-12,APM Terminals,6,89.53333333333335,2.0833333333333335,48669,2,0.333
2019-01-12,China Shipping,4,90.2,1.975,19132,1,0.25
2019-01-12,Everport,3,85.7,1.9000000000000001,23369,0,0.0
2019-01-12,TraPac,4,86.675,1.95,36209,1,0.25
2019-01-12,Yang Ming,1,83.4,1.1,878,0,0.0
2019-01-13,APM Terminals,4,84.25,1.625,31055,0,0.0
2019-01-13,China Shipping,5,89.46,1.78,42121,2,0.4
2019-01-13,Everport,6,88.68333333333334,2.216666666666667,70192,2,0.333
2019-01-13,TraPac,5,94.34,2.1399999999999997,38046,0,0.0
2019-01-13,Yang Ming,2,92.25,2.55,27268,1,0.5
2019-01-14,APM Terminals,4,92.375,2.15,37298,0,0.0
2019-01-14,China Shipping,4,93.2,1.825,36398,0,0.0
2019-01-14,Everport,4,94.9,2.125,39008,1,0.25
2019-01-14,TraPac,2,73.35,2.05,18036,2,1.0
2019-01-14,Yang Ming,7,90.7,1.6428571428571428,50010,2,0.286
2019-01-15,APM Terminals,3,93.5,1.9666666666666668,34174,2,0.667
2019-01-15,China Shipping,8,100.5625,2.1125,99179,0,0.0
2019-01-15,Everport,4,82.875,1.9249999999999998,48820,1,0.25
2019-01-15,TraPac,6,93.85000000000001,2.0,47734,1,0.167
2019-01-15,Yang Ming,5,96.36,1.6,49159,1,0.2
2019-01-16,APM Terminals,8,93.08749999999999,1.7374999999999998,47559,0,0.0
2019-01-16,China Shipping,5,85.08,2.44,63006,0,0.0
2019-01-16,Everport,6,84.10000000000001,1.95,58721,0,0.0
2019-01-16,TraPac,3,84.53333333333333,2.766666666666667,38093,0,0.0
2019-01-16,Yang Ming,3,76.86666666666667,1.7666666666666666,15426,1,0.333
2019-01-17,APM Terminals,6,97.91666666666667,2.3666666666666667,75306,2,0.333
2019-01-17,China Shipping,6,90.61666666666667,2.0833333333333335,66896,1,0.167
2019-01-17,Everport,5,91.52000000000001,1.6800000000000002,30867,2,0.4
2019-01-17,TraPac,1,95.0,2.8,17500,0,0.0
2019-01-17,Yang Ming,3,93.63333333333333,2.4,35142,1,0.333
2019-01-18,APM Terminals,4,101.19999999999999,2.125,35693,1,0.25
2019-01-18,China Shipping,6,84.88333333333334,1.8,54594,0,0.0
2019-01-18,Everport,1,98.7,2.5,10464,0,0.0
2019-01-18,TraPac,5,88.02000000000001,1.6800000000000002,21300,0,0.0
2019-01-18,Yang Ming,4,88.525,2.3,45147,0,0.0
2019-01-19,APM Terminals,7,97.91428571428571,2.1714285714285713,81919,1,0.143
2019-01-19,China Shipping,5,87.56,2.4200000000000004,55851,1,0.2
2019-01-19,Everport,5,91.6,1.9600000000000002,45394,1,0.2
2019-01-19,TraPac,3,99.76666666666667,2.1666666666666665,25166,2,0.667
2019-01-19,Yang Ming,3,89.0,1.9333333333333333,28452,1,0.333
2019-01-20,APM Terminals,4,76.475,1.875,35970,0,0.0
2019-01-20,China Shipping,6,103.25,2.3666666666666667,69923,0,0.0
2019-01-20,Everport,4,89.525,2.5,43752,1,0.25
2019-01-20,TraPac,2,87.5,0.75,8913,0,0.0
2019-01-20,Yang Ming,6,85.11666666666667,2.0500000000000003,47733,0,0.0
2019-01-21,APM Terminals,6,94.43333333333334,2.033333333333333,65897,2,0.333
2019-01-21,China Shipping,3,85.03333333333333,1.9000000000000001,31507,0,0.0
2019-01-21,Everport,7,93.51428571428572,2.1,68928,3,0.429
2019-01-21,TraPac,6,92.60000000000001,2.283333333333333,62437,3,0.5
2019-01-21,Yang Ming,6,93.51666666666667,1.8166666666666667,43867,1,0.167
2019-01-22,APM Terminals,3,92.7,2.0333333333333337,39740,1,0.333
2019-01-22,China Shipping,3,91.5,2.6333333333333333,39234,0,0.0
2019-01-22,Everport,10,93.47,1.95,74392,0,0.0
2019-01-22,TraPac,2,86.55000000000001,2.65,32987,0,0.0
2019-01-22,Yang Ming,3,85.10000000000001,2.3333333333333335,36971,1,0.333
2019-01-23,APM Terminals,3,105.36666666666667,2.3666666666666667,33719,0,0.0
2019-01-23,China Shipping,4,86.275,2.55,54485,0,0.0
2019-01-23,Everport,3,88.23333333333333,2.033333333333333,27986,1,0.333
2019-01-23,TraPac,5,101.56,2.3,52219,0,0.0
2019-01-23,Yang Ming,7,93.3,2.1571428571428575,71125,0,0.0
2019-01-24,APM Terminals,3,99.63333333333333,2.066666666666667,24254,1,0.333
2019-01-24,China Shipping,4,83.65,2.125,40373,1,0.25
2019-01-24,Everport,3,98.93333333333334,2.766666666666667,38294,0,0.0
2019-01-24,TraPac,6,79.73333333333333,1.9166666666666667,56977,0,0.0
2019-01-24,Yang Ming,4,95.975,2.7,57365,1,0.25
2019-01-25,APM Terminals,7,81.31428571428572,2.4714285714285715,72415,2,0.286
2019-01-25,China Shipping,6,93.8,2.4833333333333334,56597,2,0.333
2019-01-25,Everport,5,95.22,2.56,56724,1,0.2
2019-01-25,TraPac,3,93.06666666666668,2.1999999999999997,22929,1,0.333
2019-01-25,Yang Ming,2,98.44999999999999,1.75,13592,0,0.0
2019-01-26,APM Terminals,6,100.11666666666667,1.75,35874,2,0.333
2019-01-26,China Shipping,5,82.64,2.2,50117,1,0.2
2019-01-26,Everport,2,67.6,1.25,12025,0,0.0
2019-01-26,TraPac,6,90.66666666666667,1.4666666666666668,47712,1,0.167
2019-01-26,Yang Ming,8,90.7875,2.1125000000000003,64461,0,0.0
2019-01-27,APM Terminals,1,74.2,1.1,6730,0,0.0
2019-01-27,China Shipping,6,88.91666666666667,2.5500000000000003,85294,0,0.0
2019-01-27,Everport,4,78.675,1.4,22463,0,0.0
2019-01-27,Yang Ming,4,84.6,2.0,35994,0,0.0
2019-01-28,APM Terminals,5,76.4,1.98,41137,0,0.0
2019-01-28,China Shipping,9,87.87777777777778,2.3111111111111113,92327,1,0.111
2019-01-28,Everport,1,77.8,2.4,10972,0,0.0
2019-01-28,TraPac,2,98.69999999999999,2.25,22913,1,0.5
2019-01-28,Yang Ming,9,87.66666666666667,2.088888888888889,86468,1,0.111
2019-01-29,APM Terminals,3,73.06666666666666,2.6999999999999997,42160,0,0.0
2019-01-29,China Shipping,5,99.7,2.7800000000000002,65624,0,0.0
2019-01-29,Everport,2,94.55,2.55,16942,0,0.0
2019-01-29,TraPac,6,88.63333333333333,2.15,48383,1,0.167
2019-01-29,Yang Ming,6,96.8,2.1,68781,0,0.0
2019-01-30,APM Terminals,4,85.85,1.7,40184,0,0.0
2019-01-30,China Shipping,3,95.63333333333333,2.066666666666667,35670,0,0.0
2019-01-30,Everport,6,82.88333333333334,2.25,67326,0,0.0
2019-01-30,TraPac,6,96.89999999999999,1.8,35457,3,0.5
2019-01-30,Yang Ming,7,86.42857142857143,2.142857142857143,69627,0,0.0
2019-01-31,APM Terminals,3,88.2,1.8,30646,1,0.333
2019-01-31,China Shipping,11,92.75454545454545,2.4272727272727272,124795,2,0.182
2019-01-31,Everport,6,80.68333333333334,2.4833333333333334,81908,0,0.0
2019-01-31,TraPac,3,82.3,1.9000000000000001,34016,0,0.0
2019-01-31,Yang Ming,2,89.80000000000001,2.4,27106,1,0.5
2019-02-01,APM Terminals,3,80.36666666666666,2.3666666666666667,42586,0,0.0
2019-02-01,China Shipping,6,77.38333333333334,2.15,63163,2,0.333
2019-02-01,Everport,7,91.31428571428572,2.4,86803,0,0.0
2019-02-01,TraPac,4,96.5,2.2,38740,0,0.0
2019-02-01,Yang Ming,6,90.18333333333334,2.1,53470,2,0.333
2019-02-02,APM Terminals,5,90.62,2.4,53362,1,0.2
2019-02-02,China Shipping,7,89.24285714285715,2.1714285714285713,59863,0,0.0
2019-02-02,Everport,2,77.25,2.35,21912,0,0.0
2019-02-02,TraPac,7,91.72857142857143,2.3285714285714287,67317,0,0.0
2019-02-02,Yang Ming,4,88.94999999999999,2.225,50537,2,0.5
2019-02-03,APM Terminals,3,86.76666666666667,1.6666666666666667,19589,0,0.0
2019-02-03,China Shipping,4,93.9,1.95,31193,1,0.25
2019-02-03,Everport,3,81.83333333333333,2.1666666666666665,33620,1,0.333
2019-02-03,TraPac,2,86.7,2.5,11906,0,0.0
2019-02-03,Yang Ming,3,77.2,2.2666666666666666,39502,1,0.333
2019-02-04,APM Terminals,3,95.7,1.7000000000000002,19032,1,0.333
2019-02-04,China Shipping,4,92.75,2.25,39133,2,0.5
2019-02-04,Everport,3,90.56666666666666,1.7333333333333334,24334,1,0.333
2019-02-04,TraPac,5,92.5,2.1399999999999997,43798,0,0.0
2019-02-04,Yang Ming,3,86.03333333333335,2.966666666666667,50116,0,0.0
2019-02-05,APM Terminals,4,85.15,2.05,45815,1,0.25
2019-02-05,China Shipping,5,92.86,2.5799999999999996,77439,0,0.0
2019-02-05,Everport,3,87.86666666666667,2.8666666666666667,39810,1,0.333
2019-02-05,TraPac,6,92.55,2.066666666666667,48439,1,0.167
2019-02-05,Yang Ming,5,86.47999999999999,1.7,29106,1,0.2
2019-02-06,APM Terminals,5,75.82000000000001,2.2199999999999998,56249,2,0.4
2019-02-06,China Shipping,1,121.5,1.8,6393,1,1.0
2019-02-06,Everport,6,93.25,1.95,49578,2,0.333
2019-02-06,TraPac,8,92.4625,1.9375,74189,0,0.0
2019-02-06,Yang Ming,7,89.32857142857142,2.242857142857143,79666,2,0.286
2019-02-07,APM Terminals,5,101.47999999999999,2.04,44364,0,0.0
2019-02-07,China Shipping,6,93.61666666666667,2.1666666666666665,58982,1,0.167
2019-02-07,Everport,6,94.33333333333333,2.0833333333333335,45338,1,0.167
2019-02-07,TraPac,7,86.62857142857142,2.3285714285714287,82768,2,0.286
2019-02-07,Yang Ming,11,90.98181818181818,2.090909090909091,96466,1,0.091
2019-02-08,APM Terminals,6,94.23333333333333,1.95,55058,0,0.0
2019-02-08,China Shipping,5,81.16,1.8399999999999999,32576,1,0.2
2019-02-08,Everport,6,102.21666666666665,1.7166666666666668,47915,1,0.167
2019-02-08,TraPac,3,89.63333333333333,2.3000000000000003,24893,1,0.333
2019-02-08,Yang Ming,4,93.82499999999999,2.6,56266,0,0.0
2019-02-09,APM Terminals,5,96.3,1.7399999999999998,48109,1,0.2
2019-02-09,China Shipping,5,80.4,2.58,56215,0,0.0
2019-02-09,Everport,7,92.10000000000001,2.0,74195,0,0.0
2019-02-09,TraPac,1,80.4,1.1,7113,0,0.0
2019-02-09,Yang Ming,5,90.53999999999999,2.2800000000000002,54484,0,0.0
2019-02-10,APM Terminals,4,81.5,1.7,35251,2,0.5
2019-02-10,China Shipping,5,83.04,1.98,46850,0,0.0
2019-02-10,Everport,7,84.94285714285715,2.085714285714286,51754,1,0.143
2019-02-10,TraPac,6,88.38333333333333,2.4333333333333336,66509,0,0.0
2019-02-10,Yang Ming,6,95.64999999999999,1.9333333333333333,55122,2,0.333
2019-02-11,APM Terminals,3,96.0,2.1999999999999997,32569,1,0.333
2019-02-11,China Shipping,3,93.76666666666667,2.3333333333333335,23078,0,0.0
2019-02-11,Everport,9,94.16666666666667,2.022222222222222,90020,2,0.222
2019-02-11,TraPac,8,85.8125,1.9625000000000001,44016,0,0.0
2019-02-11,Yang Ming,5,86.7,2.2,43654,1,0.2
2019-02-12,APM Terminals,6,83.61666666666666,2.2666666666666666,76870,0,0.0
2019-02-12,China Shipping,3,75.53333333333333,2.0,13714,0,0.0
2019-02-12,Everport,4,91.17500000000001,2.025,29435,1,0.25
2019-02-12,TraPac,7,94.88571428571429,2.257142857142857,88025,0,0.0
2019-02-12,Yang Ming,3,67.8,2.1666666666666665,26815,0,0.0
2019-02-13,APM Terminals,4,101.55,2.025,25716,0,0.0
2019-02-13,China Shipping,7,89.52857142857144,1.9000000000000001,49598,0,0.0
2019-02-13,Everport,2,75.0,2.9000000000000004,27526,1,0.5
2019-02-13,TraPac,4,84.275,2.675,53548,0,0.0
2019-02-13,Yang Ming,8,89.2125,1.7875,66097,1,0.125
2019-02-14,APM Terminals,3,84.13333333333334,2.0,19980,1,0.333
2019-02-14,China Shipping,8,90.9875,2.1375,82518,3,0.375
2019-02-14,Everport,2,99.5,2.1,16414,0,0.0
2019-02-14,TraPac,8,90.1125,1.6625,71945,0,0.0
2019-02-14,Yang Ming,5,86.97999999999999,1.86,37422,1,0.2
2019-02-15,APM Terminals,6,82.78333333333333,1.9166666666666667,61542,1,0.167
2019-02-15,China Shipping,4,91.225,2.15,35816,0,0.0
2019-02-15,Everport,5,93.84,2.8,64536,2,0.4
2019-02-15,TraPac,3,99.93333333333334,2.433333333333333,28148,0,0.0
2019-02-15,Yang Ming,6,94.43333333333334,2.35,89761,3,0.5
2019-02-16,APM Terminals,2,85.80000000000001,1.9500000000000002,16902,0,0.0
2019-02-16,China Shipping,4,96.775,2.175,45565,2,0.5
2019-02-16,Everport,6,86.41666666666667,2.1666666666666665,52154,1,0.167
2019-02-16,TraPac,6,88.10000000000001,2.3000000000000003,62117,1,0.167
2019-02-16,Yang Ming,2,76.94999999999999,1.55,16985,1,0.5
2019-02-17,APM Terminals,3,84.63333333333333,1.2666666666666668,10705,0,0.0
2019-02-17,China Shipping,5,92.34,2.3,55475,1,0.2
2019-02-17,Everport,4,96.67500000000001,2.25,49643,0,0.0
2019-02-17,TraPac,6,96.2,1.95,58067,1,0.167
2019-02-17,Yang Ming,6,86.03333333333335,1.8499999999999999,56473,1,0.167
2019-02-18,APM Terminals,6,95.38333333333333,2.283333333333333,66546,4,0.667
2019-02-18,China Shipping,4,107.5,2.15,39565,1,0.25
2019-02-18,Everport,6,81.31666666666666,2.0,61769,0,0.0
2019-02-18,TraPac,2,96.9,1.9,18348,0,0.0
2019-02-18,Yang Ming,5,84.28,1.92,52197,1,0.2
2019-02-19,APM Terminals,6,82.8,2.15,62497,0,0.0
2019-02-19,China Shipping,5,90.6,2.34,60022,0,0.0
2019-02-19,Everport,9,83.78888888888889,2.1444444444444444,82006,4,0.444
2019-02-19,TraPac,7,92.7,2.0571428571428574,68295,4,0.571
2019-02-19,Yang Ming,4,90.3,2.05,39500,0,0.0
2019-02-20,APM Terminals,4,94.325,2.075,38106,2,0.5
2019-02-20,China Shipping,6,96.18333333333334,2.35,71935,1,0.167
2019-02-20,Everport,7,95.22857142857143,2.414285714285714,79219,1,0.143
2019-02-20,TraPac,4,95.4,1.875,35608,0,0.0
2019-02-20,Yang Ming,4,83.45,2.25,40291,0,0.0
2019-02-21,APM Terminals,9,95.48888888888888,1.8111111111111111,83219,2,0.222
2019-02-21,China Shipping,2,82.25,1.85,21888,0,0.0
2019-02-21,Everport,11,91.3,2.209090909090909,112845,0,0.0
2019-02-21,TraPac,4,98.1,2.375,53012,0,0.0
2019-02-21,Yang Ming,6,92.89999999999999,2.266666666666667,73177,0,0.0
2019-02-22,APM Terminals,3,80.33333333333333,2.233333333333333,44542,0,0.0
2019-02-22,China Shipping,9,102.8111111111111,1.8111111111111111,77324,1,0.111
2019-02-22,Everport,4,102.6,1.8,38562,0,0.0
2019-02-22,TraPac,6,83.53333333333333,2.316666666666667,62032,1,0.167
2019-02-22,Yang Ming,6,94.8,2.5,61811,2,0.333
2019-02-23,APM Terminals,5,94.32000000000001,2.2,47900,1,0.2
2019-02-23,China Shipping,4,93.325,2.6,55483,0,0.0
2019-02-23,Everport,2,87.75,2.35,25235,1,0.5
2019-02-23,TraPac,5,95.66,2.56,46102,1,0.2
