date,terminal,month,predicted_turnaround,congestion_level,is_peak_season
2025-01-01,Everport,1,94.9502454916907,Moderate,0
2025-01-01,China Shipping,1,93.28808663904763,Moderate,0
2025-01-01,Yang Ming,1,91.22531986549913,Moderate,0
2025-01-01,TraPac,1,89.44703728755239,Moderate,0
2025-01-01,APM Terminals,1,97.26279843825812,Moderate,0
2025-01-02,Everport,1,94.9502454916907,Moderate,0
2025-01-02,China Shipping,1,93.28808663904763,Moderate,0
2025-01-02,Yang Ming,1,91.22531986549913,Moderate,0
2025-01-02,TraPac,1,89.44703728755239,Moderate,0
2025-01-02,APM Terminals,1,97.16122966594313,Moderate,0
2025-01-03,Everport,1,94.9502454916907,Moderate,0
2025-01-03,China Shipping,1,93.28808663904763,Moderate,0
2025-01-03,Yang Ming,1,91.22531986549913,Moderate,0
2025-01-03,TraPac,1,89.44703728755239,Moderate,0
2025-01-03,APM Terminals,1,97.16122966594313,Moderate,0
2025-01-04,Everport,1,94.96635701558249,Moderate,0
2025-01-04,China Shipping,1,93.30419816293943,Moderate,0
2025-01-04,Yang Ming,1,91.24143138939093,Moderate,0
2025-01-04,TraPac,1,89.46314881144419,Moderate,0
2025-01-04,APM Terminals,1,97.16122966594313,Moderate,0
2025-01-05,Everport,1,95.0486205124303,Moderate,0
2025-01-05,China Shipping,1,93.38646165978724,Moderate,0
2025-01-05,Yang Ming,1,91.29731846922121,Moderate,0
2025-01-05,TraPac,1,89.46853905437138,Moderate,0
2025-01-05,APM Terminals,1,97.24349316279094,Moderate,0
2025-01-06,Everport,1,95.14844243811103,Moderate,0
2025-01-06,China Shipping,1,93.48628358546797,Moderate,0
2025-01-06,Yang Ming,1,91.42351681191947,Moderate,0
2025-01-06,TraPac,1,89.64523423397273,Moderate,0
2025-01-06,APM Terminals,1,97.62709254389522,Moderate,0
2025-01-07,Everport,1,94.9502454916907,Moderate,0
2025-01-07,China Shipping,1,93.28808663904763,Moderate,0
2025-01-07,Yang Ming,1,91.22531986549913,Moderate,0
2025-01-07,TraPac,1,89.44703728755239,Moderate,0
2025-01-07,APM Terminals,1,97.42889559747488,Moderate,0
2025-01-08,Everport,1,94.9502454916907,Moderate,0
2025-01-08,China Shipping,1,93.28808663904763,Moderate,0
2025-01-08,Yang Ming,1,91.22531986549913,Moderate,0
2025-01-08,TraPac,1,89.44703728755239,Moderate,0
2025-01-08,APM Terminals,1,97.42889559747488,Moderate,0
2025-01-09,Everport,1,94.9502454916907,Moderate,0
2025-01-09,China Shipping,1,93.28808663904763,Moderate,0
2025-01-09,Yang Ming,1,91.22531986549913,Moderate,0
2025-01-09,TraPac,1,89.44703728755239,Moderate,0
2025-01-09,APM Terminals,1,97.32732682515989,Moderate,0
2025-01-10,Everport,1,94.9502454916907,Moderate,0
2025-01-10,China Shipping,1,93.28808663904763,Moderate,0
2025-01-10,Yang Ming,1,91.22531986549913,Moderate,0
2025-01-10,TraPac,1,89.44703728755239,Moderate,0
2025-01-10,APM Terminals,1,97.32732682515989,Moderate,0
2025-01-11,Everport,1,94.96635701558249,Moderate,0
2025-01-11,China Shipping,1,93.30419816293943,Moderate,0
2025-01-11,Yang Ming,1,91.24143138939093,Moderate,0
2025-01-11,TraPac,1,89.46314881144419,Moderate,0
2025-01-11,APM Terminals,1,97.32732682515989,Moderate,0
2025-01-12,Everport,1,95.0486205124303,Moderate,0
2025-01-12,China Shipping,1,93.38646165978724,Moderate,0
2025-01-12,Yang Ming,1,91.29731846922121,Moderate,0
2025-01-12,TraPac,1,89.46853905437138,Moderate,0
2025-01-12,APM Terminals,1,97.4095903220077,Moderate,0
2025-01-13,Everport,1,95.14844243811103,Moderate,0
2025-01-13,China Shipping,1,93.48628358546797,Moderate,0
2025-01-13,Yang Ming,1,91.42351681191947,Moderate,0
2025-01-13,TraPac,1,89.64523423397273,Moderate,0
2025-01-13,APM Terminals,1,97.62709254389522,Moderate,0
2025-01-14,Everport,1,94.9502454916907,Moderate,0
2025-01-14,China Shipping,1,93.28808663904763,Moderate,0
2025-01-14,Yang Ming,1,91.22531986549913,Moderate,0
2025-01-14,TraPac,1,89.44703728755239,Moderate,0
2025-01-14,APM Terminals,1,97.42889559747488,Moderate,0
2025-01-15,Everport,1,94.9502454916907,Moderate,0
2025-01-15,China Shipping,1,93.28808663904763,Moderate,0
2025-01-15,Yang Ming,1,91.22531986549913,Moderate,0
2025-01-15,TraPac,1,89.44703728755239,Moderate,0
2025-01-15,APM Terminals,1,97.42889559747488,Moderate,0
2025-01-16,Everport,1,94.9502454916907,Moderate,0
2025-01-16,China Shipping,1,93.28808663904763,Moderate,0
2025-01-16,Yang Ming,1,91.22531986549913,Moderate,0
2025-01-16,TraPac,1,89.44703728755239,Moderate,0
2025-01-16,APM Terminals,1,97.32732682515989,Moderate,0
2025-01-17,Everport,1,94.9502454916907,Moderate,0
2025-01-17,China Shipping,1,93.28808663904763,Moderate,0
2025-01-17,Yang Ming,1,91.22531986549913,Moderate,0
2025-01-17,TraPac,1,89.44703728755239,Moderate,0
2025-01-17,APM Terminals,1,97.32732682515989,Moderate,0
2025-01-18,Everport,1,94.96635701558249,Moderate,0
2025-01-18,China Shipping,1,93.30419816293943,Moderate,0
2025-01-18,Yang Ming,1,91.24143138939093,Moderate,0
2025-01-18,TraPac,1,89.46314881144419,Moderate,0
2025-01-18,APM Terminals,1,97.32732682515989,Moderate,0
2025-01-19,Everport,1,95.0486205124303,Moderate,0
2025-01-19,China Shipping,1,93.38646165978724,Moderate,0
2025-01-19,Yang Ming,1,91.29731846922121,Moderate,0
2025-01-19,TraPac,1,89.46853905437138,Moderate,0
2025-01-19,APM Terminals,1,97.4095903220077,Moderate,0
2025-01-20,Everport,1,95.14844243811103,Moderate,0
2025-01-20,China Shipping,1,93.48628358546797,Moderate,0
2025-01-20,Yang Ming,1,91.42351681191947,Moderate,0
